OBJECTID,CSA2010,p2more10,p2more15,p2more16,p2more17,p2more18,p2more19,p2more20,Shape__Area,Shape__Length
46,Poppleton/The Terraces/Hollins Market,1.35666535587888,1.6273393002441,1.63934426229508,1.737691353,1.48955091151622,2.158717105,3.807106599,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,1.0405477980666,0.786183786570434,1.09002825999193,0.446834293,0.617968626208207,0.7189984774,2.44990979,23672092.8682861,20987.1433066354
48,South Baltimore,1.45176397127693,1.33859377201634,0.801957319559603,0.811108056,0.649614291514413,1.006846557,4.276315789,46353935.4255981,68440.0258266401
49,Southeastern,2.23642172523962,1.28962923159592,0.360750360750361,1.026320146,1.27935222672064,2.220841746,3.278204371,111251478.472229,102291.480547698
50,Southern Park Heights,1.12165010538994,0.421940928270042,0.774697938877043,1.377610209,1.42009987515605,1.958910655,2.495309568,27876227.5908203,24052.221372193
51,Southwest Baltimore,2.05759015935141,3.58289082103052,2.28367427891426,2.962655109,3.28663793103448,3.061817712,3.806202138,37766068.8365479,28355.563581391
52,The Waverlies,1.84444731071843,1.68034889687019,2.06922498118886,2.563172531,3.99208997651711,3.964871497,4.07106883,20383750.5437012,18733.826879757
53,Upton/Druid Heights,1.35370334558113,1.14189256280409,1.09246976199766,1.194906954,1.59114857744994,1.890440387,3.375953342,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,2.48955115391605,3.42376052385407,2.65957446808511,3.424023691,4.31535269709543,4.534089015,5.12622856,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,1.82609917123191,0.933103646281941,0.936356986100951,0.90437361,0.361578368181103,0.2376802408,3.385009245,45494092.9501953,42573.1244161851
