OBJECTID,CSA2010,pasi10,pasi15,pasi16,pasi17,pasi18,pasi19,pasi20,Shape__Area,Shape__Length
28,Highlandtown,2.46896551724138,1.45026679436311,1.88965517241379,1.822472794,2.01126307320997,2.132196162,4.240362812,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,0.31270118642509,0.123187719132,0.17599110781771,0.185594344,0.197539732423453,0.07927420065,0.47943746,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,3.86619992220926,4.81548154815482,4.31952662721894,5.224814188,4.63886370504684,4.852579853,5.772282465,24995836.2615967,43415.0595478862
31,Lauraville,0.961460115701133,2.4985710786315,2.42742332294571,0.621982159,0.910806597193731,0.7024422119,1.359943483,49665744.2354736,34419.676527973
32,Loch Raven,1.31278166024427,1.19040706114627,1.35444151275286,0.919957811,0.856227670321547,1.031522296,1.28521997,44147812.3265381,29314.3346718286
33,Madison/East End,0.848220023133273,0.111049416990561,0.100057175528874,0.136549841,0,0.1322401481,0.968324307,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,5.0149528410398,7.0113233443898,6.91564561734213,5.377462376,5.66484517304189,5.763372731,8.537754469,62441489.2398071,43152.625699222
35,Midtown,7.80958721704394,8.63990722247278,7.08426547352722,6.285416531,6.54811581177376,5.96580114,10.86613252,23823949.9294434,25020.0969698082
36,Midway/Coldstream,0.498753117206983,0.427533133817871,0.608775557087066,0.634087679,0.696055684454756,0.7844041989,0.378736643,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,2.38732708612227,2.14395099540582,2.02323456467824,3.70660402,4.23908965862198,5.981926944,3.237115812,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,3.94736842105263,6.73938449552006,4.90196078431373,4.796307445,3.38883447600391,2.124372345,3.730569948,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,7.50114521300962,7.7865317154523,7.68519053952466,9.816849817,10.8058920548256,11.83926339,17.20753432,74923987.6937256,42904.2221443544
40,Northwood,0.624887340022832,0.973508761578854,0.926730379380249,0.786683388,0.84366391184573,0.8516436723,5.711140164,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,1.99580880151681,2.13247172859451,2.1960958296362,1.794384632,2.77895630038184,2.772094926,5.305225297,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,3.02267002518892,1.94552529182879,1.73665620094192,3.729191853,2.88398309065288,2.200392927,3.790645105,89894372.2113037,47825.8629266244
43,Patterson Park North & East,1.88329094783147,0.884100013814063,1.20679075475557,2.610045147,2.54508435136707,3.584094167,2.884078212,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,0.258585022755482,0.349848714069592,0.674684658257554,0.624467783,0.753465943339361,0.8245722531,0.768087215,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,0.220040622884225,0.282389183638542,0.263229554325134,0.208155928,0.43765804318226,0.6344913668,0.597269625,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,0.963429020841526,1.42392188771359,1.34307722694055,1.117087298,1.11160515784793,0.4934210526,1.649746193,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,0.315520945220193,0.393091893285217,0.410442739873503,0.242350803,0.285216289019172,0.3891050584,0.503276042,23672092.8682861,20987.1433066354
48,South Baltimore,2.66937246331564,3.3535296604199,3.12627429658828,2.777014023,2.28718365137366,2.564102564,3.679337232,46353935.4255981,68440.0258266401
49,Southeastern,1.80511182108626,1.79115171054988,1.33477633477633,2.002979639,1.94331983805668,0.6212144743,1.284701713,111251478.472229,102291.480547698
50,Southern Park Heights,0.210779885576634,0.38175607795861,0.341151385927505,0.413283063,0.655430711610486,0.8520465042,0.150093809,27876227.5908203,24052.221372193
51,Southwest Baltimore,1.14062063181437,1.28960728248818,1.73967246557489,2.87359734,2.92145593869731,2.693624443,0.917431193,37766068.8365479,28355.563581391
52,The Waverlies,1.52199148716626,2.32170343766034,2.13192876849762,1.499214122,1.03819058212829,1.562701795,2.028539452,20383750.5437012,18733.826879757
53,Upton/Druid Heights,0.580158576677625,1.47949558137226,1.66796722590714,1.860920666,1.40147523709167,0.5263157895,0.594436967,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,5.30619662002544,2.58185219831618,2.24164133738602,2.535628355,2.8713692946058,2.733788965,6.321063789,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,2.00870908835511,2.18202698822854,3.93562545720556,3.706449222,3.49001729287847,4.119790841,1.991181909,45494092.9501953,42573.1244161851
